luma,sRGB,HLG
0.005947113,339.0,2048.0
0.0060806274,354.0,2081.0
0.006214142,370.0,2114.0
0.006351471,385.0,2147.0
0.0064926147,401.0,2181.0
0.0066375732,418.0,2216.0
0.0067863464,435.0,2251.0
0.0069351196,452.0,2286.0
0.0070877075,469.0,2322.0
0.00724411,487.0,2359.0
0.0074043274,506.0,2396.0
0.0075683594,525.0,2433.0
0.007736206,545.0,2471.0
0.007911682,566.0,2511.0
0.008087158,588.0,2551.0
0.008262634,609.0,2590.0
0.00844574,632.0,2630.0
0.008636475,657.0,2672.0
0.0088272095,681.0,2714.0
0.009017944,707.0,2755.0
0.009223938,734.0,2799.0
0.009422302,761.0,2842.0
0.009635925,790.0,2887.0
0.009849548,820.0,2932.0
0.010063171,850.0,2976.0
0.010284424,882.0,3022.0
0.010513306,916.0,3069.0
0.010749817,951.0,3118.0
0.010986328,986.0,3165.0
0.011230469,1024.0,3215.0
0.011482239,1063.0,3265.0
0.011734009,1103.0,3315.0
0.011993408,1145.0,3366.0
0.012260437,1189.0,3418.0
0.012527466,1233.0,3470.0
0.012809753,1282.0,3524.0
0.013092041,1329.0,3578.0
0.013381958,1381.0,3633.0
0.013679504,1434.0,3689.0
0.01398468,1489.0,3746.0
0.014289856,1545.0,3802.0
0.0146102905,1604.0,3861.0
0.014930725,1663.0,3920.0
0.015258789,1726.0,3979.0
0.015602112,1791.0,4041.0
0.015945435,1859.0,4102.0
0.016296387,1927.0,4164.0
0.016662598,2000.0,4228.0
0.017028809,2074.0,4292.0
0.017410278,2151.0,4358.0
0.017791748,2230.0,4423.0
0.018188477,2313.0,4491.0
0.018585205,2397.0,4558.0
0.018997192,2484.0,4627.0
0.019424438,2576.0,4698.0
0.019851685,2670.0,4769.0
0.02029419,2765.0,4841.0
0.020736694,2861.0,4913.0
0.021194458,2957.0,4987.0
0.02166748,3058.0,5062.0
0.022155762,3160.0,5140.0
0.022644043,3263.0,5217.0
0.023147583,3365.0,5296.0
0.023651123,3469.0,5374.0
0.02418518,3578.0,5456.0
0.024719238,3685.0,5537.0
0.025268555,3796.0,5620.0
0.025817871,3905.0,5703.0
0.026397705,4020.0,5789.0
0.026977539,4134.0,5875.0
0.027572632,4249.0,5962.0
0.028182983,4368.0,6051.0
0.028808594,4487.0,6141.0
0.029449463,4607.0,6233.0
0.03010559,4731.0,6326.0
0.030776978,4859.0,6421.0
0.031463623,4986.0,6517.0
0.03213501,5108.0,6610.0
0.03286743,5245.0,6711.0
0.033599854,5376.0,6811.0
0.034332275,5510.0,6910.0
0.035095215,5646.0,7012.0
0.035858154,5783.0,7114.0
0.03665161,5921.0,7218.0
0.037475586,6067.0,7326.0
0.03829956,6210.0,7433.0
0.039154053,6358.0,7543.0
0.040008545,6507.0,7653.0
0.040924072,6663.0,7769.0
0.041809082,6813.0,7880.0
0.042755127,6973.0,7998.0
0.043701172,7133.0,8115.0
0.044647217,7287.0,8231.0
0.045654297,7455.0,8353.0
0.046661377,7620.0,8475.0
0.047698975,7790.0,8599.0
0.048736572,7956.0,8722.0
0.049835205,8134.0,8851.0
0.050933838,8308.0,8979.0
0.05206299,8486.0,9110.0
0.053222656,8667.0,9243.0
0.054382324,8847.0,9375.0
0.055603027,9034.0,9512.0
0.05682373,9216.0,9649.0
0.05807495,9405.0,9788.0
0.059387207,9599.0,9932.0
0.060699463,9795.0,10075.0
0.062042236,9989.0,10220.0
0.06341553,10186.0,10367.0
0.064819336,10387.0,10516.0
0.066223145,10587.0,10664.0
0.06768799,10790.0,10817.0
0.06921387,11006.0,10975.0
0.070739746,11212.0,11132.0
0.07232666,11429.0,11294.0
0.073913574,11646.0,11454.0
0.07556152,11864.0,11619.0
0.07720947,12082.0,11783.0
0.07891846,12305.0,11951.0
0.08068848,12537.0,12123.0
