Very Low Contrast,Low Contrast,Medium Low Contrast,Medium Contrast,Medium High Contrast,High Contrast,Very High Contrast
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9973202403113e-05,3.8071194186104996e-05,2.254750613186e-05,1.354659563804e-05,6.1905883461422e-06,2.7818000588204e-06,8.1846712034145e-07
0.00012000306906271001,7.6191797945641e-05,4.5132073901206e-05,2.7119409093229e-05,1.2395818351271e-05,5.571286228795901e-06,1.639679907331e-06
0.00018008965102724,0.00011436187302051001,6.775376293804201e-05,4.0718490533262e-05,1.8615724480636e-05,8.368479706837101e-06,2.4636475671941e-06
0.00024023299938559,0.00015258148122314,9.041263296394699e-05,5.4343890219558e-05,2.4850341279825e-05,1.1173401748089999e-05,3.2903793369937e-06
0.00030043316526705,0.00019085068443662,0.00011310874379218999,6.7995658507426e-05,3.1099703374958004e-05,1.3986073666094e-05,4.1198844847345e-06
0.00036069019984138,0.00022916954461466,0.00013584215532786,8.1673845846238e-05,3.736384547286e-05,1.6806516832943e-05,4.9521723094657004e-06
0.00042100415431882003,0.00026753812378176,0.000158612927568,9.5378502779586e-05,4.3642802361259004e-05,1.9634752679446e-05,5.787252141385e-06
0.00048137507995013,0.00030595648403317,0.00018142112060171,0.00010910967994545999,4.9936608908955e-05,2.2470802695285e-05,6.6251333419427e-06
0.00054180302802653,0.00034442468753504,0.00020426679461029,0.0001228674280764,5.6245300066018996e-05,2.5314688429173e-05,7.4658253039461e-06
0.0006022880498798,0.00038294279652444,0.00022715000986738,0.00013665179799966998,6.2568910863968e-05,2.8166431489021997e-05,8.3093374516645e-06
0.00066283019688233,0.00042151087330938997,0.00025007082673907,0.00015046284063746,6.890747641595899e-05,3.1026053542099e-05,9.155679240934199e-06
0.00072342952044696,0.00046012898026901,0.00027302930568399,0.00016430060700698,7.5261031916971e-05,3.3893576315187e-05,1.0004860159264e-05
0.00078408607202724,0.0004987971798535,0.00029602550725352,0.00017816514822069,8.1629612643992e-05,3.6769021594752e-05,1.0856889725941999e-05
0.00084479990311727,0.0005375155345842099,0.00031905949209184,0.00019205651548645,8.801325395620799e-05,3.9652411227101e-05,1.1711777492139e-05
0.0009055710652518,0.0005762841070537799,0.00034213132093611,0.00020597476010769,9.4411991295188e-05,4.2543767118549e-05,1.2569533041019999e-05
0.0009663996100062,0.0006151029599261,0.00036524105461655,0.00021991993348356002,0.00010082586018508001,4.5443111235579e-05,1.3430165987846001e-05
0.0010272855889965,0.00065397215593645,0.00038838875405662,0.00023389208710912997,0.00010725489623276999,4.8350465605005996e-05,1.4293685980083e-05
0.0010882290538796,0.0006928917578914901,0.00041157448027309,0.00024789127257553997,0.00011369913512813001,5.1265852314146e-05,1.5160102697511999e-05
0.0011492300563527,0.00073186182866941,0.00043479829437621,0.00026191754157018997,0.00012015861264415,5.4189293510975e-05,1.6029425852335002e-05
0.0012102886481541,0.0007708824312199,0.00045806025756983,0.00027597094587686,0.00012663336463714,5.71208114043e-05,1.6901665189281e-05
0.0012714048810628,0.00080995362856429,0.00048136043115150996,0.00029005153737594,0.00013312342704695,6.0060428263917e-05,1.7776830485722002e-05
0.0013325788068983,0.00084907548379557,0.0005046988765126599,0.00030415936804458,0.00013962883589712,6.3008166420787e-05,1.8654931551772e-05
0.0013938104775212,0.0008882480600784301,0.00052807565513868,0.00031829448995685,0.00014614962729511002,6.596404826719301e-05,1.9535978230405e-05
0.0014550999448326,0.00092747142064941,0.00055149082860905,0.0003324569552839,0.00015268583743244,6.892809625691401e-05,2.0419980397561e-05
0.0015164472607748,0.00096674562881684,0.00057494445859749,0.00034664681629417,0.00015923750258495,7.1900332905389e-05,2.1306947962257e-05
0.0015778524773305,0.001006070747961,0.00059843660687211,0.00036086412535353,0.00016580465911293,7.4880780789886e-05,2.2196890866696e-05
0.0016393156465236,0.0010454468415342,0.00062196733529546,0.00037510893492548,0.00017238734346136002,7.786946254967099e-05,2.3089819086381e-05
0.0017008368204186,0.0010848739730607,0.00064553670582475,0.00038938129757127004,0.00017898559216004,8.0866400886175e-05,2.3985742630222e-05
0.0017624160511211,0.0011243522061369,0.0006691447805119201,0.00040368126595014,0.00018559944182387,8.3871618563166e-05,2.4884671540654e-05
0.0018240533907776,0.0011638816044313,0.00069279162150377,0.00041800889281943,0.00019222892915298,8.6885138406915e-05,2.5786615893742002e-05
0.0018857488915754,0.0012034622316848,0.0007164772910421299,0.00043236423103482004,0.00019887409093292,8.990698330636899e-05,2.6691585799298e-05
0.0019475026057429,0.0012430941517104,0.0007402018514639401,0.00044674733355042003,0.00020553496403492,9.2937176213323e-05,2.7599591400990996e-05
0.0020093145855492,0.0012827774283936,0.00076396536520142,0.00046115825341903,0.00021221158541601,9.5975740142587e-05,2.8510642876464e-05
0.0020711848833048,0.0013225121256921,0.00078776789478217,0.00047559704379222995,0.00021890399211926,9.902269817215999e-05,2.9424750437441997e-05
0.0021331135513608,0.0013622983076364,0.0008116095028293,0.00049006375792064,0.00022561222127395,0.0001020780734434,3.0341924329852e-05
0.0021951006421096,0.0014021360383292,0.0008354902520615901,0.00050455844915402,0.00023233631009578998,0.00010514188916121,3.1262174833931e-05
0.0022571462079845,0.0014420253819461,0.0008594102052935901,0.00051908117094149,0.00023907629588712002,0.00010821416859418,3.2185512264348e-05
0.0023192503014598,0.0014819664027351,0.00088336942543575,0.00053363197683168,0.00024583221603707004,0.00011129493507478999,3.311194697031e-05
0.0023814129750512,0.001521959165017,0.00090736797549456,0.00054821092047292,0.00025260410802179,0.00011438421199958001,3.4041489335686996e-05
